case,method,psnr,ssim,rmse
defocus,improved_guided,17.9038,0.6023,0.1391
defocus,median_filter,13.9507,0.5657,0.2014
defocus,mean_filter,13.9518,0.5643,0.2014
defocus,gaussian_filter,13.9581,0.5626,0.2013
defocus,degraded_input,13.9218,0.5132,0.2021
defocus,wiener_filter,13.5533,0.328,0.211
defocus,cls_filter,13.1883,0.2188,0.2203
defocus,inverse_filter,12.9275,0.1707,0.2267
motion,improved_guided,17.6651,0.6118,0.1448
motion,gaussian_filter,12.9932,0.5134,0.2251
motion,mean_filter,12.987,0.5122,0.2252
motion,median_filter,12.99,0.5115,0.2252
motion,degraded_input,12.9919,0.4702,0.2251
motion,wiener_filter,12.7949,0.3062,0.2304
motion,inverse_filter,12.5845,0.1726,0.2361
motion,cls_filter,11.4414,0.1602,0.2725
