experiment,split,case,image,method,psnr,ssim,rmse
synthetic,eval15,motion,1,degraded_input,13.096223667094261,0.4285168807492458,0.2214057098001247
synthetic,eval15,motion,1,mean_filter,13.09856126369461,0.47318204970910244,0.2213461318388165
synthetic,eval15,motion,1,gaussian_filter,13.102920553607913,0.4728376378950549,0.22123507011633345
synthetic,eval15,motion,1,median_filter,13.104297921294602,0.4723926072214981,0.22119999047682407
synthetic,eval15,motion,1,inverse_filter,12.631670033648824,0.17060019824976333,0.23356969752185658
synthetic,eval15,motion,1,wiener_filter,12.872156444555856,0.2823414359468927,0.22719155171123118
synthetic,eval15,motion,1,cls_filter,10.59159769722748,0.10980281297653631,0.295406546270514
synthetic,eval15,motion,1,improved_guided,16.12078421811252,0.5731761211408246,0.15630065179654307
synthetic,eval15,defocus,1,degraded_input,14.151100595222797,0.4903989519949368,0.19608526987009536
synthetic,eval15,defocus,1,mean_filter,14.180462549820561,0.5388532922784698,0.1954235384076022
synthetic,eval15,defocus,1,gaussian_filter,14.189278271764508,0.5371138438990694,0.19522529439716654
synthetic,eval15,defocus,1,median_filter,14.186314441000512,0.5410932245099712,0.1952919212468385
synthetic,eval15,defocus,1,inverse_filter,12.976905302708705,0.17435706836801998,0.22446815393445002
synthetic,eval15,defocus,1,wiener_filter,13.683795103625247,0.3159627805772092,0.20692370447788808
synthetic,eval15,defocus,1,cls_filter,13.097766066164631,0.20238996483525237,0.22136639711525555
synthetic,eval15,defocus,1,improved_guided,16.69747182162401,0.5835476655390691,0.14626028283513415
synthetic,eval15,motion,22,degraded_input,12.738465728430002,0.5068546229994405,0.23071546874767876
synthetic,eval15,motion,22,mean_filter,12.739411708846095,0.5542647205816852,0.23069034288956647
synthetic,eval15,motion,22,gaussian_filter,12.743450106915004,0.555068005748733,0.23058311116833974
synthetic,eval15,motion,22,median_filter,12.745267530256603,0.5515846239796983,0.23053486932940034
synthetic,eval15,motion,22,inverse_filter,11.996584548533892,0.17657301970722805,0.25128743456471736
synthetic,eval15,motion,22,wiener_filter,12.341769088579968,0.3243583718403556,0.24149689183351045
synthetic,eval15,motion,22,cls_filter,9.047052163231454,0.06896511906902687,0.3528965331172301
synthetic,eval15,motion,22,improved_guided,15.049828714740732,0.6204146069428783,0.17681070843636346
synthetic,eval15,defocus,22,degraded_input,13.70904076380059,0.5459838743921922,0.2063231510071227
synthetic,eval15,defocus,22,mean_filter,13.736922366661302,0.6029007275516715,0.20566191797899824
synthetic,eval15,defocus,22,gaussian_filter,13.741739876296315,0.6006081411235579,0.20554788204224458
synthetic,eval15,defocus,22,median_filter,13.741627174636054,0.6025884715810342,0.20555054909637777
synthetic,eval15,defocus,22,inverse_filter,12.44522049314119,0.17151194316787524,0.23863765643524043
synthetic,eval15,defocus,22,wiener_filter,13.168390593401229,0.33929897548863375,0.21957377592208635
synthetic,eval15,defocus,22,cls_filter,12.456897497839437,0.19792297744825005,0.2383170559089753
synthetic,eval15,defocus,22,improved_guided,15.339655258634615,0.5999142207526506,0.1710083186631155
synthetic,eval15,motion,23,degraded_input,12.718416581655177,0.5186642202385247,0.23124863128599696
synthetic,eval15,motion,23,mean_filter,12.718550194670517,0.5668914047073936,0.2312450740695734
synthetic,eval15,motion,23,gaussian_filter,12.722998667124614,0.5678353455616202,0.2311266723848638
synthetic,eval15,motion,23,median_filter,12.726380986910112,0.5648063021717574,0.23103668826554827
synthetic,eval15,motion,23,inverse_filter,11.912110212349083,0.17921315285487385,0.2537432449028862
synthetic,eval15,motion,23,wiener_filter,12.27828978106473,0.3286511694388365,0.24326829480260576
synthetic,eval15,motion,23,cls_filter,8.645684410340026,0.06725581698056111,0.3695862278945252
synthetic,eval15,motion,23,improved_guided,13.46708002243857,0.587409401116164,0.21215144730126478
synthetic,eval15,defocus,23,degraded_input,13.703685188864165,0.5562303728960051,0.2064504056544044
synthetic,eval15,defocus,23,mean_filter,13.731011301646205,0.6137232699261773,0.2058019260576719
synthetic,eval15,defocus,23,gaussian_filter,13.736138450333883,0.6114620211657095,0.20568048015485327
synthetic,eval15,defocus,23,median_filter,13.738647784448787,0.6142296427116771,0.20562106810597902
synthetic,eval15,defocus,23,inverse_filter,12.342123619077466,0.17328947275581594,0.24148703489663137
synthetic,eval15,defocus,23,wiener_filter,13.09939148197616,0.34282568538388625,0.2213249760527359
synthetic,eval15,defocus,23,cls_filter,12.270417737714101,0.1930607063552121,0.24348886940090414
synthetic,eval15,defocus,23,improved_guided,14.283522676223683,0.5806052168006216,0.19311849408453144
synthetic,eval15,motion,55,degraded_input,12.470061930742894,0.5351625670906309,0.23795613345277733
synthetic,eval15,motion,55,mean_filter,12.46622561050733,0.5884356535932397,0.23806125539121492
synthetic,eval15,motion,55,gaussian_filter,12.472205387262248,0.5881503258613494,0.23789741917957258
synthetic,eval15,motion,55,median_filter,12.474254099604781,0.5869654405741264,0.23784131371139428
synthetic,eval15,motion,55,inverse_filter,11.97273025858783,0.19457213144951316,0.25197850044792164
synthetic,eval15,motion,55,wiener_filter,12.23495763013796,0.3498088335041382,0.24448494352738454
synthetic,eval15,motion,55,cls_filter,10.884917603663421,0.16634981138151986,0.2855973147681552
synthetic,eval15,motion,55,improved_guided,13.035253029063416,0.6082890548362239,0.22296533558629317
synthetic,eval15,defocus,55,degraded_input,13.545922767720542,0.5941697639926166,0.21023443962410257
synthetic,eval15,defocus,55,mean_filter,13.559930087821757,0.6487930234070914,0.20989567779263463
synthetic,eval15,defocus,55,gaussian_filter,13.570313121195834,0.6482982099594581,0.209644920317307
synthetic,eval15,defocus,55,median_filter,13.573620919110587,0.6519977148631874,0.209565097635679
synthetic,eval15,defocus,55,inverse_filter,12.347370941976282,0.18677746252137542,0.2413411917165876
synthetic,eval15,defocus,55,wiener_filter,13.025678963485209,0.3640678228113822,0.22321123574729604
synthetic,eval15,defocus,55,cls_filter,12.345428542367262,0.2061888346007129,0.2413951681629767
synthetic,eval15,defocus,55,improved_guided,13.507795065445421,0.6093485779544093,0.21115931609210098
synthetic,eval15,motion,79,degraded_input,12.009576027890345,0.5726291248476069,0.2509118650554673
synthetic,eval15,motion,79,mean_filter,12.012686545510691,0.6269663564903221,0.25082202669927234
synthetic,eval15,motion,79,gaussian_filter,12.015415992582255,0.6272038928316085,0.2507432209670894
synthetic,eval15,motion,79,median_filter,12.019190513341009,0.6268894995467241,0.25063428222604783
synthetic,eval15,motion,79,inverse_filter,11.641309360242474,0.1987983253361931,0.26177883582170497
synthetic,eval15,motion,79,wiener_filter,11.798276531999567,0.36727062183518483,0.2570905855380541
synthetic,eval15,motion,79,cls_filter,11.174994229535049,0.23914542805552497,0.276216926509221
synthetic,eval15,motion,79,improved_guided,11.990075046719719,0.6271211637320969,0.2514758285206821
synthetic,eval15,defocus,79,degraded_input,13.034408289111958,0.6158490042475481,0.2229870209741713
synthetic,eval15,defocus,79,mean_filter,13.054045541909165,0.6759528502613971,0.2224834563989629
synthetic,eval15,defocus,79,gaussian_filter,13.058020620857267,0.6748492295070582,0.2223816606126819
synthetic,eval15,defocus,79,median_filter,13.059954681084951,0.6798351213165716,0.22233214908741916
synthetic,eval15,defocus,79,inverse_filter,12.10564514185049,0.1927423376585242,0.24815197893308313
synthetic,eval15,defocus,79,wiener_filter,12.622783408490864,0.3801795291011308,0.23380878742590758
synthetic,eval15,defocus,79,cls_filter,12.48358439888258,0.2749303506221072,0.2375859640267664
synthetic,eval15,defocus,79,improved_guided,12.984639099196237,0.6331549155599264,0.22426837953357137
